V1,V2
2007-03-28 15:23:00,464.33
2007-03-28 15:24:00,464.87
2007-03-28 15:25:00,465.05
2007-03-28 15:26:00,465.33
2007-03-28 15:27:00,465.87
2007-03-28 15:28:00,465.69
2007-03-28 15:29:00,465.83
2007-03-28 15:30:00,465.78
2007-03-28 15:31:00,465.87
2007-03-28 15:32:00,465.42
2007-03-28 15:33:00,465.6
2007-03-28 15:34:00,465.51
2007-03-28 15:35:00,465.33
2007-03-28 15:36:00,465.96
2007-03-28 15:37:00,465.96
2007-03-28 15:38:00,465.87
2007-03-28 15:39:00,465.69
2007-03-28 15:40:00,465.96
2007-03-28 15:41:00,465.69
2007-03-28 15:42:00,465.51
2007-03-28 15:43:00,465.05
2007-03-28 15:44:00,464.87
2007-03-28 15:45:00,464.23
2007-03-28 15:46:00,464.42
2007-03-28 15:47:00,464.83
2007-03-28 15:48:00,465.05
2007-03-28 15:49:00,465.05
2007-03-28 15:50:00,464.23
2007-03-28 15:51:00,464.69
2007-03-28 15:52:00,464.67
2007-03-28 15:53:00,464.51
2007-03-28 15:54:00,464.78
2007-03-28 15:55:00,464.6
2007-03-28 15:56:00,464.42
2007-03-28 15:57:00,464.14
2007-03-28 15:58:00,464.14
2007-03-28 15:59:00,464.05
2007-03-28 16:00:00,463.96
2007-03-28 16:01:00,463.96
2007-03-28 16:02:00,463.87
2007-03-28 16:03:00,463.87
2007-03-28 16:04:00,463.87
2007-03-28 16:05:00,463.96
2007-03-28 16:06:00,463.96
2007-03-28 16:07:00,463.96
2007-03-28 16:08:00,463.96
2007-03-28 16:09:00,463.96
2007-03-28 16:10:00,463.87
2007-03-28 16:11:00,465.61
2007-03-28 16:12:00,465.96
2007-03-28 16:13:00,465.96
2007-03-28 16:14:00,464.23
2007-03-28 16:15:00,464.23
2007-03-28 16:16:00,464.23
2007-03-28 16:17:00,464.23
2007-03-28 16:18:00,464.23
2007-03-28 16:19:00,464.23
2007-03-28 16:20:00,464.23
2007-03-28 16:21:00,464.23
2007-03-28 16:22:00,464.23
2007-03-28 16:23:00,464.23
2007-03-28 16:24:00,465.51
2007-03-28 16:25:00,465.51
2007-03-28 16:26:00,464.05
2007-03-28 16:27:00,463.96
2007-03-28 16:28:00,463.96
2007-03-28 16:29:00,464.78
2007-03-28 16:30:00,463.87
2007-03-28 16:31:00,463.87
2007-03-28 16:32:00,463.87
2007-03-28 16:33:00,463.96
2007-03-28 16:34:00,463.96
2007-03-28 16:35:00,463.96
2007-03-28 16:36:00,463.96
2007-03-28 16:37:00,463.87
2007-03-28 16:38:00,463.87
2007-03-28 16:39:00,463.87
2007-03-28 16:40:00,463.87
2007-03-28 16:41:00,463.87
2007-03-28 16:42:00,463.87
2007-03-28 16:43:00,463.87
2007-03-28 16:44:00,463.87
2007-03-28 16:45:00,463.87
2007-03-28 16:46:00,463.87
2007-03-28 16:47:00,463.87
2007-03-28 16:48:00,463.87
2007-03-28 16:49:00,463.87
2007-03-28 16:50:00,463.87
2007-03-28 16:51:00,463.87
2007-03-28 16:52:00,463.87
2007-03-28 16:53:00,463.87
2007-03-28 16:54:00,463.87
2007-03-28 16:55:00,463.87
2007-03-28 16:56:00,463.87
2007-03-28 16:57:00,463.87
2007-03-28 16:58:00,463.87
2007-03-28 16:59:00,463.87
2007-03-28 17:00:00,463.87
2007-03-29 09:30:00,466.97
2007-03-29 09:31:00,468.24
2007-03-29 09:32:00,467.88
2007-03-29 09:33:00,467.97
2007-03-29 09:34:00,468.06
2007-03-29 09:35:00,468.15
2007-03-29 09:36:00,468.06
2007-03-29 09:37:00,467.61
2007-03-29 09:38:00,467.97
2007-03-29 09:39:00,468.06
2007-03-29 09:40:00,468.06
2007-03-29 09:41:00,468.06
2007-03-29 09:42:00,468.52
2007-03-29 09:43:00,468.52
2007-03-29 09:44:00,468.5
2007-03-29 09:45:00,468.24
2007-03-29 09:46:00,468.24
2007-03-29 09:47:00,468.24
2007-03-29 09:48:00,468.7
2007-03-29 09:49:00,468.63
2007-03-29 09:50:00,468.97
2007-03-29 09:51:00,468.86
2007-03-29 09:52:00,468.97
2007-03-29 09:53:00,468.7
2007-03-29 09:54:00,468.52
2007-03-29 09:55:00,468.24
2007-03-29 09:56:00,468.34
2007-03-29 09:57:00,468.24
2007-03-29 09:58:00,468.59
2007-03-29 09:59:00,468.97
2007-03-29 10:00:00,468.79
2007-03-29 10:01:00,468.88
2007-03-29 10:02:00,469.06
2007-03-29 10:03:00,468.97
2007-03-29 10:04:00,468.79
2007-03-29 10:05:00,468.79
2007-03-29 10:06:00,468.7
2007-03-29 10:07:00,468.88
2007-03-29 10:08:00,469.15
2007-03-29 10:09:00,469.06
2007-03-29 10:10:00,469.06
2007-03-29 10:11:00,469.22
2007-03-29 10:12:00,468.9
2007-03-29 10:13:00,468.88
2007-03-29 10:14:00,468.52
2007-03-29 10:15:00,468.79
2007-03-29 10:16:00,469.06
2007-03-29 10:17:00,469.15
2007-03-29 10:18:00,469.15
2007-03-29 10:19:00,469.15
2007-03-29 10:20:00,469.15
2007-03-29 10:21:00,469.25
2007-03-29 10:22:00,469.43
2007-03-29 10:23:00,469.52
2007-03-29 10:24:00,469.43
2007-03-29 10:25:00,469.43
2007-03-29 10:26:00,469.47
2007-03-29 10:27:00,469.15
2007-03-29 10:28:00,468.79
2007-03-29 10:29:00,468.88
2007-03-29 10:30:00,468.88
2007-03-29 10:31:00,468.52
2007-03-29 10:32:00,468.61
2007-03-29 10:33:00,468.61
2007-03-29 10:34:00,468.24
2007-03-29 10:35:00,468.43
2007-03-29 10:36:00,468.43
2007-03-29 10:37:00,468.7
2007-03-29 10:38:00,468.7
2007-03-29 10:39:00,468.79
2007-03-29 10:40:00,468.88
2007-03-29 10:41:00,468.79
2007-03-29 10:42:00,468.79
2007-03-29 10:43:00,468.61
2007-03-29 10:44:00,468.24
2007-03-29 10:45:00,467.7
2007-03-29 10:46:00,467.97
2007-03-29 10:47:00,467.88
2007-03-29 10:48:00,467.53
2007-03-29 10:49:00,467.52
2007-03-29 10:50:00,466.88
2007-03-29 10:51:00,466.61
2007-03-29 10:52:00,466.79
2007-03-29 10:53:00,467.33
2007-03-29 10:54:00,467.61
2007-03-29 10:55:00,467.33
2007-03-29 10:56:00,467.33
2007-03-29 10:57:00,467.06
2007-03-29 10:58:00,466.97
2007-03-29 10:59:00,466.97
2007-03-29 11:00:00,466.88
2007-03-29 11:01:00,466.97
2007-03-29 11:02:00,467.7
2007-03-29 11:03:00,467.61
2007-03-29 11:04:00,467.79
2007-03-29 11:05:00,467.7
2007-03-29 11:06:00,467.97
2007-03-29 11:07:00,468.15
2007-03-29 11:08:00,468.06
2007-03-29 11:09:00,468.06
2007-03-29 11:10:00,468.15
2007-03-29 11:11:00,468.34
2007-03-29 11:12:00,468.88
2007-03-29 11:13:00,468.88
2007-03-29 11:14:00,469.06
2007-03-29 11:15:00,468.88
2007-03-29 11:16:00,468.61
2007-03-29 11:17:00,468.61
2007-03-29 11:18:00,468.34
2007-03-29 11:19:00,468.43
2007-03-29 11:20:00,469.06
2007-03-29 11:21:00,468.97
2007-03-29 11:22:00,469.06
2007-03-29 11:23:00,469.15
2007-03-29 11:24:00,469.15
2007-03-29 11:25:00,468.88
2007-03-29 11:26:00,468.7
2007-03-29 11:27:00,468.79
2007-03-29 11:28:00,468.61
2007-03-29 11:29:00,468.88
2007-03-29 11:30:00,468.79
2007-03-29 11:31:00,468.79
2007-03-29 11:32:00,469.25
2007-03-29 11:33:00,469.25
2007-03-29 11:34:00,469.52
2007-03-29 11:35:00,469.25
2007-03-29 11:36:00,468.88
2007-03-29 11:37:00,468.61
2007-03-29 11:38:00,468.79
2007-03-29 11:39:00,468.7
2007-03-29 11:40:00,468.79
2007-03-29 11:41:00,468.7
2007-03-29 11:42:00,468.97
2007-03-29 11:43:00,468.61
2007-03-29 11:44:00,468.7
2007-03-29 11:45:00,468.52
2007-03-29 11:46:00,468.63
2007-03-29 11:47:00,468.79
2007-03-29 11:48:00,468.7
2007-03-29 11:49:00,468.88
2007-03-29 11:50:00,468.34
2007-03-29 11:51:00,468.06
2007-03-29 11:52:00,467.7
2007-03-29 11:53:00,467.79
2007-03-29 11:54:00,468.15
2007-03-29 11:55:00,468.34
2007-03-29 11:56:00,468.35
2007-03-29 11:57:00,468.43
2007-03-29 11:58:00,467.15
2007-03-29 11:59:00,467.06
2007-03-29 12:00:00,467.24
2007-03-29 12:01:00,468.34
2007-03-29 12:02:00,469.06
2007-03-29 12:03:00,468.88
2007-03-29 12:04:00,468.52
2007-03-29 12:05:00,468.43
2007-03-29 12:06:00,468.61
2007-03-29 12:07:00,468.88
2007-03-29 12:08:00,468.88
2007-03-29 12:09:00,469.34
2007-03-29 12:10:00,468.88
2007-03-29 12:11:00,468.88
2007-03-29 12:12:00,468.88
2007-03-29 12:13:00,468.88
2007-03-29 12:14:00,468.79
2007-03-29 12:15:00,468.79
2007-03-29 12:16:00,468.61
2007-03-29 12:17:00,468.52
2007-03-29 12:18:00,468.88
2007-03-29 12:19:00,468.7
2007-03-29 12:20:00,468.7
2007-03-29 12:21:00,468.79
2007-03-29 12:22:00,468.79
2007-03-29 12:23:00,468.7
2007-03-29 12:24:00,468.43
2007-03-29 12:25:00,468.61
2007-03-29 12:26:00,468.7
2007-03-29 12:27:00,468.7
2007-03-29 12:28:00,468.43
2007-03-29 12:29:00,467.88
2007-03-29 12:30:00,468.06
2007-03-29 12:31:00,467.97
2007-03-29 12:32:00,468.15
2007-03-29 12:33:00,467.88
2007-03-29 12:34:00,467.97
2007-03-29 12:35:00,468.52
2007-03-29 12:36:00,468.79
2007-03-29 12:37:00,469.15
2007-03-29 12:38:00,469.06
2007-03-29 12:39:00,468.88
2007-03-29 12:40:00,468.88
2007-03-29 12:41:00,468.88
2007-03-29 12:42:00,469.06
2007-03-29 12:43:00,468.79
2007-03-29 12:44:00,468.79
2007-03-29 12:45:00,468.61
2007-03-29 12:46:00,468.61
2007-03-29 12:47:00,468.61
2007-03-29 12:48:00,468.61
2007-03-29 12:49:00,468.88
2007-03-29 12:50:00,469.06
2007-03-29 12:51:00,469.06
2007-03-29 12:52:00,469.06
2007-03-29 12:53:00,468.79
2007-03-29 12:54:00,468.43
2007-03-29 12:55:00,468.43
2007-03-29 12:56:00,468.06
2007-03-29 12:57:00,468.15
2007-03-29 12:58:00,468.24
2007-03-29 12:59:00,468.34
2007-03-29 13:00:00,468.06
2007-03-29 13:01:00,467.87
2007-03-29 13:02:00,467.97
2007-03-29 13:03:00,467.79
2007-03-29 13:04:00,467.79
2007-03-29 13:05:00,467.52
2007-03-29 13:06:00,467.52
2007-03-29 13:07:00,467.52
2007-03-29 13:08:00,467.79
2007-03-29 13:09:00,468.06
2007-03-29 13:10:00,468.24
2007-03-29 13:11:00,468.24
2007-03-29 13:12:00,468.15
2007-03-29 13:13:00,467.97
2007-03-29 13:14:00,468.15
2007-03-29 13:15:00,468.15
2007-03-29 13:16:00,468.15
2007-03-29 13:17:00,467.61
2007-03-29 13:18:00,467.52
2007-03-29 13:19:00,466.88
2007-03-29 13:20:00,466.97
